TransactionAmount,RecipientCommitteeParty,DonorCity,DonorState,DonorZipCode,ID,
500,Other,GUAYNABO,PR,966,72135,
500,Republican,GUAYNABO,PR,966,72135,
1000,Other,GUAYNABO,PR,966,72135,
500,Other,GUAYNABO,PR,968,72135,
250,Other,GUAYNABO,PR,969,72135,
500,Other,GUAYNABO,PR,969,72135,
250,Other,TRUJILLO ALTO,PR,976,72135,
250,Other,TRUJILLO ALTO,PR,976,72135,
250,Other,CAROLINA,PR,979,72135,
1000,Other,CAROLINA,PR,979,72135,
1000,Republican,CAROLINA,PR,979,72135,
1000,Other,CAROLINA,PR,979,72135,
2700,Republican,CAROLINA,PR,979,72135,
500,Republican,CAROLINA,PR,983,72135,
500,Democratic,CAROLINA,PR,983,72135,
250,Democratic,AMHERST,MA,1002,72135,
2700,Democratic,AMHERST,MA,1002,72135,
250,Democratic,AMHERST,MA,1002,72135,
250,Democratic,AMHERST,MA,1002,72135,
250,Democratic,AMHERST,MA,1002,72135,
250,Democratic,AMHERST,MA,1002,72135,
500,Democratic,PELHAM,MA,1002,72135,
250,Democratic,AMHERST,MA,1004,72135,
250,Democratic,AMHERST,MA,1004,72135,
250,Democratic,BELCHERTOWN,MA,1007,72135,
250,Democratic,BELCHERTOWN,MA,1007,72135,
250,Democratic,EASTHAMPTON,MA,1027,72135,
250,Democratic,EAST LONGMEADOW,MA,1028,72135,
250,Republican,HADLEY,MA,1035,72135,
500,Democratic,HAYDENVILLE,MA,1039,72135,
500,Democratic,HOLYOKE,MA,1040,72135,
250,Democratic,HOLYOKE,MA,1040,72135,
1000,Democratic,HOLYOKE,MA,1040,72135,
300,Democratic,LEEDS,MA,1053,72135,
250,Democratic,NORTHAMPTON,MA,1060,72135,
500,Democratic,NORTHAMPTON,MA,1060,72135,
250,Democratic,NORTHAMPTON,MA,1060,72135,
250,Democratic,NORTHAMPTON,MA,1060,72135,
250,Democratic,NORTHAMPTON,MA,1060,72135,
250,Democratic,NORTHAMPTON,MA,1060,72135,
500,Democratic,NORTHAMPTON,MA,1060,72135,
250,Democratic,FLORENCE,MA,1062,72135,
250,Democratic,FLORENCE,MA,1062,72135,
500,Democratic,PLAINFIELD,MA,1070,72135,
250,Democratic,SOUTH HADLEY,MA,1075,72135,
500,Democratic,WALES,MA,1081,72135,
1000,Democratic,WESTFIELD,MA,1085,72135,
500,,WEST SPRINGFIELD,MA,1089,72135,
500,Democratic,WEST SPRINGFIELD,MA,1089,72135,
500,Democratic,WEST SPRINGFIELD,MA,1089,72135,
250,Democratic,WILBRAHAM,MA,1095,72135,
250,Republican,WILBRAHAM,MA,1095,72135,
250,Democratic,WILBRAHAM,MA,1095,72135,
2700,Democratic,SPRINGFIELD,MA,1103,72135,
2700,Democratic,SPRINGFIELD,MA,1103,72135,
1000,,SPRINGFIELD,MA,1104,72135,
1000,Republican,SPRINGFIELD,MA,1104,72135,
500,Democratic,LONGMEADOW,MA,1106,72135,
250,Republican,LONGMEADOW,MA,1106,72135,
250,Democratic,LONGMEADOW,MA,1106,72135,
250,Democratic,LONGMEADOW,MA,1106,72135,
500,Democratic,LONGMEADOW,MA,1106,72135,
250,Democratic,LONGMEADOW,MA,1106,72135,
500,Democratic,LONGMEADOW,MA,1106,72135,
250,Democratic,LONGMEADOW,MA,1106,72135,
250,Democratic,LONGMEADOW,MA,1106,72135,
250,Democratic,SPRINGFIELD,MA,1107,72135,
500,Democratic,SPRINGFIELD,MA,1108,72135,
1000,Democratic,SPRINGFIELD,MA,1108,72135,
1000,Democratic,SPRINGFIELD,MA,1108,72135,
1000,Democratic,SPRINGFIELD,MA,1108,72135,
5000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
1500,Democratic,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
1000,,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
1500,Democratic,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
3000,Democratic,SPRINGFIELD,MA,1111,72135,
-3000,Democratic,SPRINGFIELD,MA,1111,72135,
-3000,Republican,SPRINGFIELD,MA,1111,72135,
1500,Republican,SPRINGFIELD,MA,1111,72135,
2000,Democratic,SPRINGFIELD,MA,1111,72135,
2000,Democratic,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
1500,Democratic,SPRINGFIELD,MA,1111,72135,
1000,Democratic,SPRINGFIELD,MA,1111,72135,
3000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
4000,Republican,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2500,Republican,SPRINGFIELD,MA,1111,72135,
2500,Democratic,SPRINGFIELD,MA,1111,72135,
1000,Democratic,SPRINGFIELD,MA,1111,72135,
-3000,Democratic,SPRINGFIELD,MA,1111,72135,
3000,Democratic,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
2000,,SPRINGFIELD,MA,1111,72135,
2000,Republican,SPRINGFIELD,MA,1111,72135,
